b	R
20,87	130,8
20,88	130,0
20,89	122,5
20,90	117,3
20,91	128,3
20,92	116,8
20,93	125,3
20,94	125,8
20,95	115,3
20,96	113,5
20,97	129,3
20,98	113,8
20,99	110,8
21,00	109,0
21,01	114,5
21,02	126,0
21,03	116,8
21,04	122,0
21,05	109,0
21,06	118,8
21,07	117,5
21,08	112,8
21,09	111,8
21,10	115,5
21,11	108,0
21,12	108,8
21,13	113,3
21,14	115,3
21,15	116,8
21,16	118,3
21,17	102,5
21,18	114,8
21,19	112,3
21,20	109,0
21,21	101,5
21,22	113,5
21,23	110,8
21,24	112,8
21,25	111,8
21,26	112,5
21,27	109,0
21,28	107,8
21,29	106,0
21,30	102,5
21,31	110,3
21,32	102,3
21,33	109,8
21,34	109,5
21,35	109,3
21,36	116,8
21,37	106,5
21,38	106,8
21,39	102,0
21,40	113,5
21,41	113,8
21,42	116,0
21,43	119,0
21,44	124,0
21,45	122,3
21,46	124,8
21,47	135,8
21,48	138,5
21,49	149,8
21,50	164,5
21,51	179,5
21,52	206,5
21,53	235,8
21,54	283,5
21,55	300,5
21,56	297,5
21,57	313,3
21,58	306,5
21,59	295,8
21,60	289,0
21,61	253,8
21,62	224,0
21,63	190,0
21,64	168,0
21,65	152,8
21,66	138,0
21,67	130,5
21,68	133,5
21,69	128,0
21,70	140,5
21,71	131,3
21,72	133,8
21,73	138,5
21,74	129,8
21,75	132,5
21,76	129,0
21,77	134,8
21,78	115,0
21,79	122,5
21,80	112,5
21,81	113,0
21,82	112,5
21,83	111,3
21,84	112,0
21,85	105,3
21,86	105,3
21,87	104,3
21,88	116,3
21,89	110,8
21,90	101,8
21,91	110,3
21,92	105,8
21,93	104,5
21,94	112,0
21,95	111,8
21,96	113,0
21,97	108,8
21,98	109,0
21,99	107,0
22,00	107,5
22,01	115,3
22,02	109,5
22,03	111,8
22,04	104,0
22,05	107,8
22,06	107,0
22,07	117,8
22,08	108,8
22,09	108,5
22,10	111,5
22,11	120,5
22,12	114,5
22,13	123,3
22,14	114,8
22,15	130,3
22,16	125,0
22,17	122,8
22,18	128,8
22,19	124,8
22,20	122,0
22,21	125,5
22,22	133,8
22,23	144,3
22,24	140,0
22,25	144,3
22,26	141,3
22,27	164,8
22,28	160,8
22,29	173,8
22,30	177,0
22,31	173,8
22,32	205,3
22,33	238,3
22,34	259,3
22,35	304,8
22,36	340,5
22,37	368,3
22,38	399,5
22,39	470,0
22,40	541,8
22,41	642,3
22,42	775,8
22,43	1016,5
22,44	1245,8
22,45	1556,8
22,46	1999,3
22,47	2824,0
22,48	3577,3
22,49	4493,3
22,50	5435,0
22,51	6461,3
22,52	7228,3
22,53	7599,0
22,54	7884,5
22,55	7924,8
22,56	7924,3
22,57	7882,3
22,58	7784,0
22,59	7688,8
22,60	7483,0
22,61	7243,8
22,62	6673,0
22,63	5790,5
22,64	4759,8
22,65	3979,8
22,66	3221,3
22,67	2500,5
22,68	2090,3
22,69	1794,5
22,70	1518,8
22,71	1303,0
22,72	1100,5
22,73	930,0
22,74	755,0
22,75	654,0
22,76	593,3
22,77	528,0
22,78	461,0
22,79	415,3
22,80	372,5
22,81	324,3
22,82	304,3
22,83	264,8
22,84	225,5
22,85	216,3
22,86	187,0
22,87	182,5
22,88	183,3
22,89	172,5
22,90	169,3
22,91	164,8
22,92	154,3
22,93	152,8
22,94	151,3
22,95	138,0
22,96	142,8
22,97	140,5
22,98	135,8
22,99	135,8
23,00	126,5
23,01	129,5
23,02	117,8
23,03	122,0
23,04	125,0
23,05	113,0
23,06	131,5
23,07	116,5
23,08	107,0
23,09	117,3
23,10	109,8
23,11	118,5
23,12	110,3
23,13	107,3
23,14	99,3
23,15	103,3
23,16	111,8
23,17	109,0
23,18	107,0
23,19	103,5
23,20	101,5
23,21	105,5
23,22	104,8
23,23	101,3
23,24	92,3
23,25	93,3
23,26	104,8
23,27	108,5
23,28	100,5
23,29	102,0
23,30	94,8
23,31	103,5
23,32	96,5
23,33	107,8
23,34	91,5
23,35	91,8
23,36	96,5
23,37	91,8
23,38	93,3
23,39	98,5
23,40	90,8
23,41	97,3
23,42	97,8
23,43	93,0
23,44	100,0
23,45	93,0
23,46	99,5
23,47	100,0
23,48	88,5
23,49	85,8
23,50	96,0
23,51	96,5
23,52	89,5
23,53	91,8
23,54	84,8
23,55	86,8
23,56	84,5
23,57	94,8
23,58	94,8
23,59	88,8
23,60	87,8
23,61	86,3
23,62	86,3
23,63	85,3
23,64	82,8
23,65	84,3
23,66	80,8
23,67	89,3
23,68	93,3
23,69	83,3
23,70	93,8
23,71	89,0
23,72	86,0
23,73	79,8
23,74	83,0
23,75	84,5
23,76	77,8
23,77	84,3
23,78	89,3
23,79	89,5
23,80	81,0
23,81	89,8
23,82	78,3
23,83	78,3
23,84	87,0
23,85	88,8
23,86	80,0
23,87	84,3
23,88	74,5
23,89	72,5
23,90	76,0
23,91	86,5
23,92	79,3
23,93	76,0
23,94	81,0
23,95	79,5
23,96	79,3
23,97	80,0
23,98	77,8
23,99	78,3
24,00	75,8
24,01	76,0
24,02	81,8
24,03	75,3
24,04	76,5
24,05	75,3
24,06	65,8
24,07	81,0
24,08	76,8
24,09	74,0
24,10	73,0
24,11	78,3
24,12	81,5
24,13	74,0
24,14	77,5
24,15	84,0
24,16	85,3
24,17	78,3
24,18	87,8
24,19	75,3
24,20	85,0
24,21	80,0
24,22	73,8
24,23	75,8
24,24	74,3
24,25	78,8
24,26	78,5
24,27	73,8
24,28	79,3
24,29	70,3
24,30	75,0
24,31	77,8
24,32	78,5
24,33	76,5
24,34	67,3
24,35	76,8
24,36	70,0
24,37	80,3
24,38	71,5
24,39	68,3
24,40	72,0
24,41	70,5
24,42	72,8
24,43	75,8
24,44	73,5
24,45	71,8
24,46	72,5
24,47	69,5
24,48	66,8
24,49	76,0
24,50	66,8
24,51	72,8
24,52	73,5
24,53	73,0
24,54	75,8
24,55	78,5
24,56	76,5
24,57	76,5
24,58	81,8
24,59	75,8
24,60	74,8
24,61	74,3
24,62	78,5
24,63	75,8
24,64	81,8
24,65	75,0
24,66	75,0
24,67	74,8
24,68	77,3
24,69	73,0
24,70	73,8
24,71	75,5
24,72	79,8
24,73	69,3
24,74	68,8
24,75	67,5
24,76	70,8
24,77	74,3
24,78	66,5
24,79	73,8
24,80	75,3
24,81	73,3
24,82	74,8
24,83	68,3
24,84	66,5
24,85	72,8
24,86	68,8
24,87	69,3
24,88	74,3
24,89	66,8
24,90	69,3
24,91	69,0
24,92	64,3
24,93	65,5
24,94	76,0
24,95	69,0
24,96	75,5
24,97	77,0
24,98	63,8
24,99	62,5
25,00	63,5
25,01	65,0
25,02	72,0
25,03	70,5
25,04	65,8
25,05	65,0
25,06	57,8
25,07	67,5
25,08	69,3
25,09	63,5
25,10	69,0
25,11	69,0
25,12	66,8
25,13	66,0
25,14	64,8
25,15	72,0
25,16	68,0
25,17	64,5
25,18	62,8
25,19	61,8
25,20	61,3
25,21	69,0
25,22	67,0
25,23	69,0
25,24	65,5
25,25	68,0
25,26	66,5
25,27	66,8
25,28	68,8
25,29	61,0
25,30	68,0
25,31	59,5
25,32	69,0
25,33	70,0
25,34	70,5
25,35	63,0
25,36	72,3
25,37	67,5
25,38	70,0
25,39	68,5
25,40	61,3
25,41	64,0
25,42	63,8
25,43	67,3
25,44	63,5
25,45	69,0
25,46	57,8
25,47	55,5
25,48	53,8
25,49	63,0
25,50	61,3
25,51	63,0
25,52	61,8
25,53	65,8
25,54	63,8
25,55	61,3
25,56	64,5
25,57	53,5
25,58	60,5
25,59	63,0
